fg3a_per_fga_pct,Yyy,vorp,ws_per_48,pos,player,team_id,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,Xxx,per,orb_pct,dws,season,usg_pct,link,ast_pct,obpm,fta_per_fga_pct,bpm,g,age,dbpm,pseudo,mp,trb_pct,ws,salary
0.057999999999999996,,1.3,0.139,PF,Shareef Abdur-Rahim,POR,3.9,13.0,0.581,1.4,16.0,1.0,,18.7,7.9,1.5,04/05,22.1,a/abdursh01.html,10.7,1.4,0.379,0.8,54,28,-0.5,abdursh01,1867,12.1,5.4,14625000
0.0,,0.0,0.1,PF,Malik Allen,TOT,0.6,8.7,0.512,0.9,13.3,3.2,,14.2,9.0,0.5,04/05,18.1,a/allenma01.html,5.7,-2.0,0.158,-2.3,36,26,-0.3,allenma01,519,11.0,1.1,1950625
0.37200000000000005,,4.4,0.168,SG,Ray Allen,SEA,9.7,9.2,0.555,1.5,10.7,0.1,,20.9,3.2,1.0,04/05,28.0,a/allenra02.html,18.1,5.6,0.28600000000000003,3.7,78,29,-1.9,allenra02,3064,6.9,10.7,14625000
0.08,,0.6,0.10300000000000001,SG,Tony Allen,BOS,1.2,14.5,0.542,3.1,12.3,1.4,,14.7,8.0,1.6,04/05,18.9,a/allento01.html,8.2,-0.7,0.39299999999999996,-0.1,77,23,0.6,allento01,1262,10.2,2.7,901920
0.39899999999999997,,2.4,0.098,PG,Rafer Alston,TOR,3.8,13.5,0.522,2.2,10.1,0.2,,16.5,1.7,1.7,04/05,21.2,a/alstora01.html,31.7,2.6,0.265,1.5,80,28,-1.2,alstora01,2717,5.8,5.5,3500000
0.008,,1.2,0.152,C,Chris Andersen,NOH,2.7,12.7,0.581,0.5,23.6,5.6,,18.5,10.9,1.8,04/05,16.4,a/anderch01.html,9.1,-1.1,0.531,1.2,67,26,2.4,anderch01,1430,17.0,4.5,1600000
0.386,,0.0,0.052000000000000005,SG,Derek Anderson,POR,0.7,14.0,0.503,1.6,9.2,0.2,,11.7,2.4,0.6,04/05,18.5,a/anderde01.html,18.9,-0.3,0.223,-2.1,47,30,-1.8,anderde01,1239,6.0,1.3,8443500
0.065,,-0.4,0.011000000000000001,PG,Kenny Anderson,TOT,-0.1,18.4,0.467,2.3,10.5,0.0,,10.1,3.6,0.3,04/05,16.1,a/anderke01.html,22.2,-2.9,0.184,-4.4,43,34,-1.5,anderke01,743,6.9,0.2,1100000
0.134,,0.3,0.085,SF-SG,Shandon Anderson,TOT,0.5,16.9,0.518,1.8,14.4,0.9,,9.0,4.3,1.6,04/05,11.8,a/andersh01.html,8.7,-2.5,0.304,-1.0,66,31,1.4,andersh01,1171,9.5,2.1,873699
0.128,,0.5,0.09,SF,Carmelo Anthony,DEN,2.3,13.1,0.526,1.3,12.5,0.9,,16.7,6.3,2.6,04/05,29.2,a/anthoca01.html,13.1,0.1,0.466,-1.2,75,20,-1.3,anthoca01,2608,9.4,4.9,3471360
0.017,,-0.7,0.016,C,Rafael Araujo,TOR,-0.4,20.7,0.49200000000000005,1.5,19.7,0.8,,7.1,8.9,0.7,04/05,15.6,a/araujra01.html,3.4,-5.2,0.314,-5.9,59,24,-0.7,araujra01,736,14.2,0.3,2082720
0.369,,4.9,0.16899999999999998,PG,Gilbert Arenas,WAS,9.2,11.8,0.565,2.2,10.5,0.5,,21.3,2.8,2.3,04/05,27.3,a/arenagi01.html,22.9,5.5,0.42,4.0,80,23,-1.5,arenagi01,3274,6.5,11.5,9389600
0.033,,0.4,0.073,SF,Trevor Ariza,NYK,0.8,13.6,0.503,2.7,13.1,1.0,,13.3,7.5,1.3,04/05,17.8,a/arizatr01.html,9.8,-1.6,0.447,-1.0,80,19,0.7,arizatr01,1382,10.3,2.1,385277
0.401,,0.1,0.039,PG,Darrell Armstrong,TOT,-0.2,17.9,0.43,2.4,9.3,0.6,,11.0,4.0,1.0,04/05,17.3,a/armstda01.html,27.9,-1.2,0.245,-1.6,66,36,-0.4,armstda01,988,6.7,0.8,2275000
0.07,,-1.0,0.043,PG,Carlos Arroyo,TOT,0.3,17.8,0.466,1.7,6.5,0.2,,11.3,2.1,1.0,04/05,19.3,a/arroyca01.html,32.3,-2.3,0.34700000000000003,-4.8,70,25,-2.5,arroyca01,1448,4.3,1.3,4000000
