college,weight,debut,pseudo,height,salary11,salary10,salary13,salary12,salary15,salary14,salary08,salary09,salary06,salary07,shoots,salary05
University of Alabama at Birmingham,111,2008,sharpwa01,206,,,,,,,,"$442,114",,,Right,
,89,2002,jaricma01,201,"$7,625,000","$7,100,000",,,,,"$6,050,000","$6,575,000","$5,000,000","$5,525,000",Right,"$2,100,000"
University of Kentucky,122,2010,couside01,211,"$3,374,640",,"$3,880,800","$3,627,720","$13,701,250","$4,916,974",,,,,Right,
Marquette University,90,2015,mcneaje01,190,,,,,"$29,843",,,,,,Right,
University of Florida,81,2005,roberan02,188,,,,,,,,"$797,581","$398,762","$267,111",Right,
University of Alabama,99,1995,mcdyean01,206,"$4,860,000","$3,000,000",,"$2,640,000",,,"$6,373,900","$950,419","$5,393,300","$5,883,600",Right,"$4,903,000"
Iowa State University,104,2010,brackcr01,208,"$1,306,920",,,"$1,404,960",,,,,,,Right,
University of Florida,115,2008,speigma01,208,"$1,773,960","$1,658,280","$4,200,000","$2,721,255","$3,657,500","$3,500,000",,"$1,542,600",,,Right,
Bucknell University,108,2014,muscami01,211,,,,,"$816,482",,,,,,Right,
,77,2009,beaubro01,183,"$1,156,080","$1,075,440","$2,227,333","$1,236,720",,,,,,,Right,
University of Kentucky,106,2012,milleda01,203,,,"$473,604",,"$400,000","$788,872",,,,,Right,
University of Washington,81,2005,robinna01,175,"$4,200,000","$4,000,000","$1,146,337","$983,307","$154,918","$2,016,000","$1,268,160","$2,020,179","$1,102,680","$1,185,480",Right,
University of Michigan,128,1999,traylro01,203,,,,,,,,,,,Right,"$1,600,000"
University of Georgia,92,2013,caldwke01,196,,,,,"$2,772,480","$2,653,080",,,,,Right,
Ohio State University,113,2008,odengr01,213,"$6,760,524","$5,361,240",,"$1,500,000",,"$1,027,424","$4,662,000","$5,011,680",,,Right,
University of Pittsburgh,122,2009,blairde01,201,"$918,000","$850,000","$1,054,000","$986,000","$2,000,000","$947,907",,,,,Right,
George Washington University,104,2007,hallmi01,203,,,,,,,,,,"$135,895",Right,
Central Michigan University,120,2003,kamanch01,213,"$11,800,000","$10,400,000","$8,000,000","$14,030,000","$4,800,000","$3,183,000","$8,600,000","$9,500,000","$2,753,760","$3,491,768",Right,"$2,574,240"
,99,2015,lauvejo01,211,,,,,"$1,790,280",,,,,,Right,
University of Texas at Austin,102,2010,jamesda01,201,"$1,156,320",,"$50,258","$1,243,080",,,,,,,Right,
,106,2009,ibakase01,208,"$1,204,200","$1,120,200","$2,253,062","$1,288,200","$12,350,000","$12,250,000",,,,,Right,
,97,2014,bogdabo02,203,,,,,"$3,278,000",,,,,,Right,
,139,2010,pekovni01,211,"$4,000,000",,"$4,837,200","$4,503,600","$12,100,000","$12,100,000",,,,,Right,
University of Kentucky,115,2012,ortonda01,208,"$1,028,400",,"$757,712","$1,105,560",,,,,,,Right,
College of Charleston,86,1997,johnsan02,190,,"$2,160,000",,,,,"$2,860,000","$1,910,000","$2,420,000","$2,640,000",Right,"$2,200,000"
Fairfield University,113,2005,gaide01,206,,,,,,,,,"$92,396",,Right,
,97,2003,pietrmi01,198,"$5,300,000","$5,300,000","$1,005,097","$1,223,166",,,"$3,470,770","$5,300,000","$1,910,520","$2,535,260",Right,"$1,785,960"
Louisiana State University,113,2005,bassbr01,203,"$4,000,000","$4,000,000","$6,000,000","$4,250,000","$6,900,000","$6,450,000","$770,610","$826,269","$398,762","$664,209",Right,
University of Maryland,91,2007,strawdj01,196,,,,,,,"$427,163",,,,Right,
St. Bonaventure University,113,2012,nichoan01,206,,,"$1,418,160",,"$1,545,840","$1,482,000",,,,,Right,
Towson University,95,2010,nealga01,193,"$525,000",,"$854,389","$762,195","$3,250,000","$3,250,000",,,,,Right,
Georgia Institute of Technology,99,2011,shumpim01,196,,,"$1,680,360","$1,563,120","$2,616,975","$1,703,760",,,,,Right,
University of Kansas,88,2013,mclembe01,196,,,,,"$3,026,280","$2,895,960",,,,,Right,
,113,2013,radulmi01,213,,,,,"$96,100",,,,,,Right,
Georgetown University,111,1991,mutomdi01,218,,,,,,,"$1,219,590","$794,491","$2,000,000","$2,210,000",Right,"$4,496,434"
,90,2004,kutluib01,198,,,,,,,,,"$1,760,000",,Right,"$1,600,000"
Wake Forest University,113,2009,johnsja01,206,"$1,713,600","$1,594,080","$2,812,006","$1,833,120","$2,500,000",,,,,,Right,
Purdue University,100,2011,johnsja02,208,,,"$1,120,440","$1,042,320",,,,,,,Right,
University of Detroit Mercy,90,2003,greenwi01,193,"$3,976,000","$3,682,000","$1,475,106","$1,223,166","$1,448,490","$1,399,507","$3,094,000","$3,388,000",,"$2,800,000",Right,"$620,046"
Louisiana Tech University,102,1993,brownpj01,211,,,,,,,,,"$8,000,000","$8,560,000",Right,"$8,000,000"
Boise State University,97,2007,karlco01,196,,"$43,319",,,,,"$427,163",,,,Right,
Northeast Mississippi Community College,100,2002,woodsqy01,203,,,,,,,,,"$599,834",,Right,"$1,127,280"
Alabama A&M University,99,2011,gladnmi01,211,,,,"$248,263",,,,,,,Right,
Stanford University,115,2001,collija03,211,"$643,551","$1,181,803",,,,,"$2,350,000","$2,074,302","$1,700,000","$2,625,698",Right,"$1,700,000"
Georgia Institute of Technology,117,2000,collija02,213,,,,,,,,,"$1,650,000",,Left,"$1,500,000"
Stanford University,115,2001,collija04,213,"$1,352,181","$1,181,803","$1,352,181","$1,352,181",,,"$6,100,000","$6,200,000","$5,500,000","$5,800,000",Right,"$1,887,864"
University of Connecticut,107,2006,boonejo01,208,,"$2,056,968",,,,,"$1,133,040","$1,212,120",,"$1,053,960",Right,
Virginia Polytechnic Institute and State University,83,2014,greener01,193,,,,,"$507,336",,,,,,Right,
Ohio State University,102,2008,hunteot01,203,,"$307,564",,,,,,"$442,114",,,Right,
Duke University,117,2002,boozeca01,206,"$14,400,000","$13,520,500","$15,000,000","$13,500,000","$3,250,000","$15,300,000","$11,260,483","$11,593,817","$11,593,816","$11,260,483",Right,"$10,967,500"
DePaul University,111,2007,brownan01,206,,,,,,,"$711,517","$107,908",,"$241,591",Right,
"California State University, Long Beach",79,2014,wareca01,178,,,,,,,,,,,Right,
Missouri State University,86,2008,ahearbl01,188,,,,,,,,"$125,562",,,Right,
,117,2013,anticpe01,211,,,,,"$1,250,000",,,,,,Right,
University of Florida,104,2013,murpher01,208,,,,,"$100,000",,,,,,Right,
,115,2008,haddaha01,218,"$1,600,000","$1,627,779","$1,300,000","$1,300,000",,"$200,000",,"$1,572,221",,,Right,
Syracuse University,97,2007,nichode01,203,,,,,,,"$427,163","$87,893",,,Right,
University of Kansas,92,2010,collish01,180,"$473,604",,,,,,,,,,Right,
University of Texas at Austin,139,2011,pittmde01,211,"$473,604",,"$854,389","$762,195",,,,,,,Right,
