pseudo,salary11,salary10,salary13,salary12,salary15,salary14,salary08,salary09,salary06,salary07,salary05
vucevni01,,,"$1,768,800","$1,645,400","$2,751,260","$1,793,520",,,,,
pavloal01,"$67,432","$1,250,000","$1,232,713","$1,223,166",,,"$4,250,000","$4,500,000","$1,274,160","$1,962,206","$1,191,000"
garcifr01,"$5,500,000","$5,800,000","$6,100,000","$5,800,000","$1,316,809","$1,265,977","$1,168,800","$1,983,454","$1,016,400","$1,092,600",
radojal01,,,,,,,,,,,"$720,046"
jacksst02,"$8,453,250","$7,650,000","$10,059,750","$9,256,500",,,"$6,630,000","$7,140,000","$5,610,000","$6,120,000","$5,100,000"
johnstr01,"$89,670",,,,,,,"$187,258",,,
jonesed02,,,,,,,"$1,830,000","$2,000,000","$14,576,250","$531,694","$13,455,000"
onealje01,"$5,765,000","$23,016,000","$1,352,181","$6,226,200",,"$2,000,000","$19,728,000","$21,372,000","$16,440,000","$18,084,000","$14,796,000"
anderal01,,,"$885,120",,"$1,276,061","$947,907",,,"$398,762","$102,131",
szczewa02,,,,,,,"$12,775,000","$13,775,000","$10,000,000","$11,775,000","$9,000,000"
rudezda01,,,,,"$1,100,000",,,,,,
hillge01,"$1,157,160","$1,081,680","$8,000,000","$2,086,360","$8,000,000","$8,000,000",,"$1,006,200",,,
smartma01,,,,,"$3,283,320",,,,,,
erdense01,"$473,604",,,"$762,195",,,,,,,
gutiejo01,,,,,"$59,686",,,,,,
dampier01,"$1,129,469","$12,115,500",,"$850,522",,,"$10,590,500","$11,553,000","$8,662,500","$9,628,000","$7,700,000"
kasunma01,,,,,,,,,"$682,050","$919,551","$385,277"
smithja01,,,,,,,,,,,"$720,046"
sandela01,"$1,731,960",,"$1,991,760","$1,861,920","$11,000,000","$3,053,368",,,,,
felixno01,,,,,,,,,,,
greenje02,"$4,455,988","$3,516,960","$8,385,000",,"$9,445,000","$8,965,000","$3,058,200","$3,287,640",,,
andrima01,,,,,,,,,"$398,762","$664,209",
gelabmi01,,,"$447,298",,,,"$802,000",,,"$802,000",
moniase01,,,,,,,,,"$1,016,400","$100,000",
bobbito01,,,,,,,,,,,"$305,403"
westbru01,"$4,017,720","$3,755,640","$13,668,750","$5,082,416","$15,719,062","$14,693,906",,"$3,493,680",,,
walshma01,,,,,,,,,"$38,904",,
brandel01,"$15,959,099","$14,858,471","$2,100,500","$17,059,727","$2,000,000","$4,000,000","$15,344,000","$13,757,844","$13,152,000","$14,248,000","$12,056,000"
johnsal01,,,,,,,"$687,456",,,"$412,718",
geeal01,"$76,219",,"$3,500,000","$854,389","$1,063,384","$3,250,000",,,,,
thomaku01,"$1,352,181","$3,800,000",,,,,"$8,091,188","$4,200,000","$6,620,062","$7,821,482","$5,884,500"
snellto01,,,,,"$1,472,400","$1,409,040",,,,,
lopezbr01,"$2,413,320","$2,225,880","$13,668,750","$3,076,983","$15,719,063","$14,693,906",,"$2,098,560",,,
webstma02,"$4,800,000","$4,344,000","$600,000","$5,256,000","$5,381,750","$5,150,000","$2,974,080","$3,771,133","$2,586,120","$2,780,160",
davidje01,,,,,,,"$427,163","$422,725",,,
gordoer01,"$3,016,680","$2,819,880","$13,668,750","$3,831,184","$14,898,938","$14,283,844",,"$2,623,200",,,
caracde01,"$473,604",,,"$270,427",,,,,,,
vasqugr01,"$1,035,960",,"$1,191,240","$1,113,600","$6,400,000","$2,150,188",,,,,
azubuke01,"$3,300,000","$3,132,000","$885,120",,,,"$687,456","$2,900,000",,"$50,000",
maggeco01,"$9,600,000","$8,937,931","$10,924,138","$10,262,069",,,"$7,000,000","$8,275,862","$7,000,000","$7,000,000","$7,000,000"
calatni01,,,,,"$816,482",,,,,,
huntest01,,"$3,696,000",,,,,"$3,248,000","$3,862,600","$2,800,000","$3,024,000","$720,046"
surabo01,,,,,,,"$3,840,000",,"$3,520,000","$3,840,000","$3,200,000"
mingya01,"$17,686,100","$16,378,325",,,,,"$13,762,775","$15,070,550","$5,594,906","$12,455,000","$4,436,880"
perovko01,,,,,,,"$1,800,000",,,,
glovedi01,,,,,,,,,"$163,085",,
thornal01,"$2,814,196","$1,900,200",,,,,"$1,652,280","$1,776,240",,,
simmobo01,"$71,951","$10,560,000",,"$594,836",,,"$9,280,000","$10,602,667","$8,000,000","$8,640,000","$825,000"
beverpa01,,,"$281,377",,"$915,243","$788,872",,,,,
stephla01,"$750,000",,"$870,000","$810,000","$9,000,000","$1,005,000",,,,,
pondequ01,"$1,073,280",,"$1,234,320","$1,153,800","$3,146,068","$2,225,479",,,,,
dowdeza01,"$242,374",,,,,,,,,,
schenlu01,,,,,,,,,,"$55,000",
samuesa01,"$500,000",,"$341,756","$762,195",,,,,,,
mozgoti01,"$3,567,096",,"$3,140,429","$3,343,896","$4,650,000","$4,400,000",,,,,
ebind01,,,,,,,,,"$964,320","$90,000","$901,440"
bellch01,"$4,447,792","$3,596,000",,"$4,099,920",,,"$3,100,000","$3,354,480","$641,748","$744,551",
lucaska01,,,,,,,,,,,
mitchto03,,,,,,,,,,,
mitchto02,,,,,"$816,482",,,,,,
luety01,,,,,,,"$3,500,000","$2,250,000","$3,500,000","$3,500,000","$1,600,000"
greenda02,"$94,154","$457,588","$3,500,000","$854,389","$4,025,000","$3,762,500",,,,,
stiemgr01,,,"$2,575,000","$762,195","$981,084","$2,676,000",,,,,
josepkr01,,,"$189,442",,,,,,,,
diazgu01,,,,,,,"$56,065",,,,
morroan01,"$4,000,000","$736,420","$4,000,000","$4,000,000","$3,200,000","$1,027,424",,"$442,114",,,
iguodan01,"$12,345,250","$12,200,000","$14,968,250","$13,531,750","$12,289,544","$12,868,632","$2,804,889","$11,300,000","$2,058,000","$2,201,640","$1,914,480"
owensan01,,,,,,,"$687,456",,"$398,762","$676,800",
bradlav01,"$1,418,160",,"$1,630,800","$1,524,480","$7,191,011","$2,511,432",,,,,
mariosh01,"$7,305,500","$6,635,068","$8,646,364","$8,022,449","$1,448,490","$9,316,796","$16,440,000","$17,810,000","$13,700,000","$15,070,000","$12,330,000"
napiesh01,,,,,"$1,238,640",,,,,,
robinth01,,,"$3,374,640",,"$3,678,360","$3,526,440",,,,,
piercpa01,"$13,876,321","$19,795,712","$16,790,345","$15,333,334","$5,305,000","$15,333,334","$16,360,094","$18,077,903","$13,843,156","$15,101,625","$12,584,688"
smithch05,,,,,,,,,,,
hayesja01,,"$2,062,800",,,,,"$1,200,000","$1,910,000","$2,011,080","$2,564,127","$1,879,920"
nashst01,"$10,310,938","$13,125,000","$8,900,000","$11,689,062","$9,701,000","$9,300,500","$11,375,000","$12,250,000","$9,625,000","$10,500,000","$8,750,000"
feltora01,"$7,500,000","$5,501,196","$3,480,453","$7,560,000","$3,793,693","$3,637,073","$3,274,440","$4,148,716","$2,847,360","$3,060,840",
mekelga01,,,,,"$633,974",,,,,,
drobnpr01,,,,,,,,,,,"$2,550,000"
davisgl01,"$3,300,000","$3,000,000","$6,400,000","$6,300,000","$1,227,985","$6,400,000","$427,163","$711,517",,,
emmetan01,,,,"$61,433",,,,,"$641,748",,"$385,277"
jenkijo01,,,"$1,204,560",,"$1,312,920","$1,258,800",,,,,
mcadoja01,,,,,"$167,122",,,,,,
walkean02,,,,,,,"$8,329,640","$8,854,475","$6,880,000","$7,606,820","$14,625,000"
daviebr01,,,,,,,,,,,
cabarza01,,,,,,,,,"$1,404,360","$2,157,097","$1,312,800"
leema01,,,"$762,195","$500,000",,"$884,293",,,,,
daniean01,,"$5,863,580",,,,,"$5,800,000","$6,200,000","$5,000,000","$5,400,000","$2,200,000"
iversal01,,"$161,386",,,,,"$19,012,500","$20,840,625","$16,453,125","$17,184,375","$14,625,000"
smithcr01,"$2,300,000","$2,500,000",,"$992,680",,,"$687,456","$2,500,000",,"$412,718",
willija04,"$321,652","$736,420",,,,,,"$244,463",,,
willija02,"$524,964","$1,306,455",,,,,"$8,937,500","$1,262,275","$7,562,500","$8,250,000","$6,875,000"
roberan03,,,,,"$1,160,880","$1,110,840",,,,,
anderja01,"$1,361,400",,"$145,749","$1,463,520",,"$916,099",,,,,
randoan01,"$1,965,720","$1,837,560","$1,674,641","$2,911,231","$1,825,359","$1,750,000",,"$1,709,280",,,
jonespe01,,,"$1,035,960",,"$1,129,200","$1,082,520",,,,,
harriju01,,,,,,,,,,"$390,556","$695,046"
poseyja01,"$7,148,800","$6,031,800",,"$7,595,600",,,"$3,206,000","$5,585,000","$5,900,400","$6,392,100","$5,408,700"
douglch01,"$854,389","$736,000","$72,892",,"$915,243",,,"$442,411",,,
odomla01,"$8,200,000","$7,500,000","$8,200,000","$8,900,000",,,"$13,248,596","$14,148,596","$11,465,333","$12,348,596","$10,548,596"
collida01,"$1,361,040","$1,266,120","$2,319,344","$1,455,960","$4,797,664","$1,900,000",,,,,
guglito01,,,,,,,,,,,"$2,700,000"
